,antes,despues
prior_infecting_organism_days_to_culture,100.0,100.0
implied_susceptibility,100.0,0.0
Rule,100.0,0.0
prior_organism,100.0,0.0
nursing_home_visit_culture,99.2547170954568,99.25776552193297
median_wbc,68.27276142464159,68.41676891118696
median_cr,68.217016687066,68.36210352409529
procedure_name,65.51582059889238,0.0
time_to_culturetime,29.781020128697634,29.76955502374907
antibiotic_class,29.781020128697634,0.0
ordering_mode,14.672984403591899,14.708633486801345
susceptibility,0.237521055756856,0.0
gender,0.013330263333292939,0.0
